Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código da Unidade;Número da Turma; Turma;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Habilitação/Curso;Período;Sexo Feminino;Sexo Masculino;Total de Alunos; Médio na ETEC;Médio em outra ETEC;Médio fora do CPS;Médio Concluído;Aprovados;Promoção Parcial;Retidos por Frequência;Retidos por Rendimento; Retidos por Frequencia e Rendimento; Retenção Parcial;Desistências;Transferências Expedidas;Transferências Recebidas;Trancamentos
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.433;3ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias;Manhã;25;15;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.718;3º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;19;6;25;0;0;1;24;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.724;3º Módulo;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas (MNP);Noite;10;23;33;15;0;3;15;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.693;2º Módulo;Técnico;Produção Cultural e Design;Design;Design Gráfico;Noite;17;14;31;5;0;2;24;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.654;1º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;10;28;38;0;0;0;38;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.715;3º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;23;9;32;0;0;0;32;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.836;4º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;28;8;36;0;0;0;36;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.701;2º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;32;6;38;0;0;0;38;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.708;2º Módulo;Técnico;Ambiente e Saúde;Saúde;Farmácia;Noite;19;6;25;3;0;3;19;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;300.715.675;2º Módulo;Técnico;Gestão e Negócios;Comércio;Marketing;Noite;20;12;32;1;0;2;29;0;0;0;0;0;0;0;0;0;0;
