Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Linguagens, Ciência Humanas e Sociais;Manhã;201;35;5,74;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;102;40;2,54;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Técnico;Gestão e Negócios;Comércio;Marketing;Noite;67;40;1,67;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Técnico;Gestão e Negócios;Gestão;Secretariado;Noite;63;40;1,57;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec-PI;Manhã e Tarde;160;35;4,57;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Gestão e Negócios;Gestão;Administração;Noite;81;40;2,02;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;122;40;3,05;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Infraestrutura;Construção Civil;Edificações;Noite;70;40;1,75;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;57;40;1,42;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;144;40;3,60;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Ambiente e Saúde;Saúde;Nutrição e Dietética;Noite;54;40;1,35;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;44;40;1,10;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;41;40;1,02;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Controle e Processos Industriais;Indústria;Soldagem;Noite;68;40;1,70;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;264;40;6,60;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Infraestrutura;Construção Civil;Edificações - MTec-PI;Manhã e Tarde;119;40;2,97;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Informação e Comunicação;Informática;Informática - MTec-PI;Manhã e Tarde;263;40;6,57;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Controle e Processos Industriais;Indústria;Mecatrônica - MTec-PI;Manhã e Tarde;108;40;2,70;
